bairro,latitude_central,longitude_central
CURADO,-8.071484746892306,-34.95909061937012
DOIS UNIDOS,-7.998302213407455,-34.912620322694984
AFLITOS,-8.040250241489598,-34.89632520797103
SANCHO,-8.084800444495052,-34.9616478135189
VARZEA,-8.048405577800436,-34.976274313146114
COELHOS,-8.067714940809667,-34.889714900572834
PEIXINHOS,-8.019078566952247,-34.87680822537981
SAO JOSE,-8.073412053702693,-34.886225501494664
SANTO ANTONIO,-8.063345390218876,-34.87855738014924
RECIFE,-8.052897380552302,-34.868281599917886
HIPODROMO,-8.032001376011504,-34.88785328120719
ROSARINHO,-8.0324338693591,-34.89731245222776
CAMPINA DO BARRETO,-8.017274588326725,-34.88180891233175
CASA FORTE,-8.033862859476077,-34.91860369584652
PARNAMIRIM,-8.034164780174917,-34.911059388182316
GUABIRABA,-7.958344074194754,-34.95340155756979
ILHA JOANA BEZERRA,-8.07074174671727,-34.89900818426223
CABANGA,-8.08028542130577,-34.89493910844725
ILHA DO LEITE,-8.065177832616623,-34.89436360859693
PAU FERRO,-7.967023428971721,-34.972345421116096
MANGUEIRA,-8.076710316580046,-34.92071167048256
SANTO AMARO,-8.047931598091678,-34.87952592218683
BOA VISTA,-8.058339199337667,-34.89018156668512
ESPINHEIRO,-8.04378224943545,-34.89140181047239
DERBY,-8.05592405609395,-34.90011554908483
SANTANA,-8.040212809712036,-34.91537829351369
PAISSANDU,-8.063778718660428,-34.898231832038896
TOTO,-8.082319589391611,-34.96840955938888
GRACAS,-8.045689636653808,-34.90006119170128
TORRE,-8.043644186925533,-34.90994824068567
ARRUDA,-8.024537614142606,-34.890061536254144
ENGENHO DO MEIO,-8.056239744677422,-34.942717722830594
CAJUEIRO,-8.011372457191149,-34.88530102328911
ZUMBI,-8.052838304209077,-34.91756133322891
TAMARINEIRA,-8.030623662722888,-34.902511927760884
BONGI,-8.0659681337283,-34.918559127825404
CIDADE UNIVERSITARIA,-8.052619550079136,-34.950248876862844
TORREAO,-8.040337111202005,-34.883470812243885
JAQUEIRA,-8.037258785024932,-34.90495329370561
CACOTE,-8.10105365716001,-34.93141709084496
IPSEP,-8.109832947606954,-34.92165695478147
PORTO DA MADEIRA,-8.007384250472484,-34.890069872576944
JORDAO,-8.13574760945162,-34.93671434778098
PRADO,-8.060128797762458,-34.91673082107272
DOIS IRMAOS,-8.006367060658347,-34.94733361811853
MADALENA,-8.054262655661974,-34.90830001034749
SOLEDADE,-8.05684139274067,-34.89007896112601
TORROES,-8.061555902203596,-34.93656308358716
IPUTINGA,-8.036231331051468,-34.93619315377507
SAN MARTIN,-8.069379428415548,-34.929150916009526
PASSARINHO,-7.97978919026372,-34.921055418493374
JARDIM SAO PAULO,-8.082012445013472,-34.9440416250911
AREIAS,-8.09511072382076,-34.93171410107809
TEJIPIO,-8.089877316360035,-34.95778126202089
CORDEIRO,-8.050151714337018,-34.92724020752099
BARRO,-8.098990617741334,-34.951627444268176
ESTANCIA,-8.08425594951042,-34.930458283084924
FUNDAO,-8.014316597467202,-34.891156783027036
COQUEIRAL,-8.087262083155832,-34.96861413660569
POCO,-8.035547908467013,-34.92326907912718
CAXANGA,-8.027154585711148,-34.95181937794824
SITIO DOS PINTOS,-8.01287068840193,-34.9585666784372
BEBERIBE,-8.005283287247313,-34.89645973712835
BOMBA DO HEMETERIO,-8.02095513246782,-34.90179502244352
MANGABEIRA,-8.02449285590636,-34.90285512401852
CASA AMARELA,-8.02613020741658,-34.91708703639203
LINHA DO TIRO,-8.009112708731118,-34.90505350643004
ENCRUZILHADA,-8.035769257938432,-34.89091386776339
BRASILIA TEIMOSA,-8.080002782310165,-34.877791480170444
PINA,-8.093968539850193,-34.89401310150699
BREJO DA GUABIRABA,-7.992692553187737,-34.93301718720188
ILHA DO RETIRO,-8.064083572546666,-34.90478518241079
MUSTARDINHA,-8.071498748900707,-34.91940912891381
IBURA,-8.120108242817558,-34.93222999351975
ALTO JOSE BONIFACIO,-8.013350772793975,-34.912900213565436
ALTO DO MANDU,-8.021915416095146,-34.92793739837215
MORRO DA CONCEICAO,-8.019695316766292,-34.91429913945743
ALTO JOSE DO PINHO,-8.022161138809471,-34.90840661596399
VASCO DA GAMA,-8.011983355247223,-34.91931223333708
BOA VIAGEM,-8.127832680211917,-34.902790148548085
ALTO SANTA TEREZINHA,-8.015759925743865,-34.90809730877715
MACAXEIRA,-8.011837709147235,-34.93053332841325
BREJO DE BEBERIBE,-7.998462366207989,-34.92328835298668
NOVA DESCOBERTA,-8.00486320684485,-34.927922143606516
MONTEIRO,-8.026283559155484,-34.92922293089024
CAMPO GRANDE,-8.030803661510742,-34.879662915187886
AGUA FRIA,-8.016506984301461,-34.896562598756766
IMBIRIBEIRA,-8.105228250826343,-34.91174623942062
JIQUIA,-8.084543581036051,-34.924376889898404
AFOGADOS,-8.0775987184545,-34.911489367690805
APIPUCOS,-8.018746140830746,-34.93736310637925
CORREGO DO JENIPAPO,-8.002570775041546,-34.93658811951049
PONTO DE PARADA,-8.02948985151675,-34.89263575996963
COHAB,-8.123067094282678,-34.95146061325975
